unit,product,indic_nrg,geo,_2011,_2011_flag,_2010,_2010_flag,_2009,_2009_flag,_2008,_2008_flag,_2007,_2007_flag,_2006,_2006_flag,_2005,_2005_flag,_2004,_2004_flag,_2003,_2003_flag,_2002,_2002_flag,_2001,_2001_flag,_2000,_2000_flag,_1999,_1999_flag,_1998,_1998_flag,_1997,_1997_flag,_1996,_1996_flag,_1995,_1995_flag,_1994,_1994_flag,_1993,_1993_flag,_1992,_1992_flag,_1991,_1991_flag,_1990,_1990_flag,serialid
Terajoule,Solar energy,Iron and Steel,Italy,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,979
Terajoule,Solar energy,Iron and Steel,Lithuania,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1279
Terajoule,Solar energy,Iron and Steel,Luxembourg,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1366
Terajoule,Solar energy,Iron and Steel,Latvia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1896
Terajoule,Solar energy,Non-Ferrous Metals,Ireland,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2166
Terajoule,Solar energy,Non-Ferrous Metals,Iceland,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2925
Terajoule,Solar energy,Non-Ferrous Metals,Italy,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3303
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Bulgaria,23,,12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3598
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Austria,180,,168,,157,,118,,109,,101,,93,,87,,80,,70,,67,,63,,58,,55,,48,,42,,36,,29,,25,,23,,19,,15,,3628
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Belgium,115,,60,,25,,9,,5,,3,,3,,3,,2,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3629
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Switzerland,,,51,,43,,33,,30,,28,,26,,25,,24,,23,,23,,22,,21,,19,,18,,17,,16,,14,,12,,11,,9,,8,,3630
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Cyprus,64,,61,,58,,56,,54,,43,,41,,40,,36,,35,,34,,35,,35,,34,,33,,32,,31,,0,,0,,0,,0,,0,,3631
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Czech Republic,198,,62,,14,,6,,4,,3,,2,,2,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3632
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Germany (until 1990 former territory of the FRG),2218,,1452,,973,,735,,580,,472,,353,,262,,216,,184,,150,,115,,92,,77,,61,,48,,38,,31,,24,,19,,14,,11,,3633
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Denmark,20,,16,,14,,13,,12,,11,,10,,10,,9,,9,,8,,8,,8,,7,,7,,6,,5,,4,,4,,3,,3,,2,,3634
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)",5661,,3516,,2412,,1636,,1137,,885,,714,,600,,522,,466,,420,,271,,237,,213,,185,,167,,149,,133,,96,,87,,76,,66,,3635
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Euro area (12 countries),5544,,3437,,2346,,1580,,1137,,885,,714,,600,,522,,466,,420,,370,,334,,306,,275,,253,,231,,212,,171,,157,,139,,122,,3636
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Euro area (13 countries),5558,,3446,,2354,,1580,,1137,,885,,714,,600,,522,,466,,420,,370,,334,,306,,275,,253,,231,,212,,171,,157,,139,,122,,3637
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Euro area (15 countries),5622,,3510,,2412,,1636,,1191,,929,,755,,639,,558,,502,,455,,406,,369,,340,,308,,285,,262,,212,,171,,157,,139,,122,,3638
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Euro area (16 countries),5661,,3516,,2412,,1636,,1191,,929,,755,,639,,558,,502,,455,,406,,369,,340,,308,,285,,262,,212,,171,,157,,139,,122,,3639
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Euro area (17 countries),5661,,3516,,2412,,1636,,1191,,929,,755,,639,,558,,502,,455,,406,,369,,340,,308,,285,,262,,212,,171,,157,,139,,122,,3640
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Estonia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3641
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,"European Economic Area (EU-15 plus IS, LI, NO)",5707,,3554,,2442,,1659,,1204,,939,,760,,639,,556,,496,,446,,395,,357,,328,,296,,273,,251,,231,,189,,174,,156,,138,,3642
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Greece,235,,197,,187,,174,,160,,109,,101,,108,,99,,99,,100,,99,,97,,93,,89,,86,,82,,79,,75,,70,,63,,56,,3643
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Spain,1348,,1035,,710,,349,,138,,83,,65,,58,,48,,43,,38,,33,,29,,27,,24,,26,,26,,25,,1,,1,,1,,1,,3644
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,European Union (15 countries),5707,,3554,,2442,,1659,,1204,,939,,760,,639,,556,,496,,446,,395,,357,,328,,296,,273,,251,,231,,189,,174,,156,,138,,3645
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,European Union (25 countries),6039,,3709,,2534,,1727,,1265,,988,,806,,683,,596,,533,,482,,430,,391,,362,,329,,305,,282,,231,,189,,174,,156,,138,,3646
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,European Union (27 countries),6062,,3720,,2534,,1727,,1265,,988,,806,,683,,596,,533,,482,,430,,391,,362,,329,,305,,282,,231,,189,,174,,156,,138,,3647
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Finland,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3648
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,France,240,,110,,65,,47,,36,,28,,22,,19,,18,,17,,17,,17,,17,,18,,19,,19,,20,,20,,20,,20,,20,,19,,3649
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Croatia,6,,5,,5,,4,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3650
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Hungary,6,,5,,5,,4,,3,,2,,2,,2,,2,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3651
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Ireland,8,,7,,4,,3,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3652
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Iceland,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3653
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Italy,1069,,298,,143,,83,,56,,38,,30,,21,,18,,16,,14,,12,,11,,11,,9,,8,,8,,8,,8,,7,,6,,5,,3654
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Lithuania,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3655
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Luxembourg,3,,3,,2,,2,,2,,2,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3656
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Latvia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3657
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,"Former Yugoslav Republic of Macedonia, the",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3658
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Malta,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3659
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Netherlands,33,,29,,26,,24,,23,,22,,21,,20,,18,,16,,13,,11,,10,,8,,7,,6,,5,,4,,3,,3,,2,,2,,3660
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,New Member States (10 countries),332,,155,,92,,68,,61,,49,,46,,44,,40,,37,,36,,35,,35,,34,,33,,32,,31,,0,,0,,0,,0,,0,,3661
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Norway,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3662
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Poland,10,,8,,7,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3663
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Portugal,92,,77,,52,,34,,28,,24,,23,,21,,21,,20,,19,,18,,18,,17,,16,,16,,15,,15,,14,,13,,13,,11,,3664
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Romania,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3665
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Sweden,12,,11,,10,,10,,9,,6,,6,,5,,5,,4,,4,,5,,5,,5,,5,,4,,5,,5,,4,,4,,4,,3,,3666
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Slovenia,14,,9,,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3667
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Slovakia,39,,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3668
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Turkey,630,,432,,429,,420,,420,,402,,385,,375,,350,,318,,287,,262,,236,,210,,179,,159,,143,,129,,88,,60,,41,,28,,3669
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,United Kingdom,131,,90,,71,,57,,46,,37,,30,,25,,20,,16,,13,,11,,10,,9,,10,,10,,10,,10,,10,,10,,10,,10,,3670
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Austria,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3671
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Belgium,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3672
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Bulgaria,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3673
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Switzerland,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3674
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Cyprus,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3675
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Czech Republic,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3676
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Germany (until 1990 former territory of the FRG),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3677
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Denmark,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3678
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3679
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Euro area (12 countries),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3680
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Euro area (13 countries),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3681
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Euro area (15 countries),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3682
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Euro area (16 countries),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3683
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Euro area (17 countries),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3684
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Estonia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3685
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,"European Economic Area (EU-15 plus IS, LI, NO)",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3686
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Greece,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3687
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Spain,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3688
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,European Union (15 countries),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3689
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,European Union (25 countries),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3690
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,European Union (27 countries),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3691
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Finland,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3692
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,France,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3693
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Croatia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3694
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Hungary,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3695
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Ireland,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3696
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Iceland,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3697
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Italy,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3698
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Lithuania,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3699
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Luxembourg,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3700
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Latvia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3701
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,"Former Yugoslav Republic of Macedonia, the",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3702
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Malta,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3703
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Netherlands,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3704
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,New Member States (10 countries),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3705
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Norway,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3706
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Poland,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3707
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Portugal,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3708
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Romania,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3709
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Sweden,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3710
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Slovenia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3711
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Slovakia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3712
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,Turkey,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3713
Thousand tonnes of oil equivalent (TOE),Solar energy,Imports,United Kingdom,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3714
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Austria,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3715
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Belgium,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3716
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Bulgaria,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3717
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Switzerland,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3718
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Cyprus,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3719
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Czech Republic,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3720
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Germany (until 1990 former territory of the FRG),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3721
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Denmark,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3722
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3723
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Euro area (12 countries),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3724
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Euro area (13 countries),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3725
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Euro area (15 countries),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3726
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Euro area (16 countries),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3727
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Euro area (17 countries),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3728
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Estonia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3729
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,"European Economic Area (EU-15 plus IS, LI, NO)",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3730
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Greece,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3731
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Spain,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3732
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,European Union (15 countries),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3733
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,European Union (25 countries),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3734
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,European Union (27 countries),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3735
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Finland,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3736
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,France,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3737
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Croatia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3738
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Hungary,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3739
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Ireland,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3740
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Iceland,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3741
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Italy,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3742
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Lithuania,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3743
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Luxembourg,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3744
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Latvia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3745
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,"Former Yugoslav Republic of Macedonia, the",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3746
Thousand tonnes of oil equivalent (TOE),Solar energy,Exports,Malta,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3747
