well_permit_number,period_id,production_indicator,well_status,farm_name,well_number,gas_quantity,gas_production_days,condensate_quanitity,condensate_production_days,oil_quantity,oil_production_days,averaged,operator_name,ogo_number,well_county,well_municipality,well_latitude,well_longitude,unconventional,well_configuration_code,home_use,reporting_period,comment_reason,comment_text,serialid
003-00802,2011-0,Y,ACTIVE,MORGAN HEIRS 3,3,,,,,9,96,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.385258,-80.223003,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,613
003-00803,2011-0,Y,ACTIVE,MORGAN HEIRS 4,4,,,,,9,96,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.385666,-80.224267,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,614
003-00805,2011-0,Y,ACTIVE,MORGAN HEIRS 10,10,,,,,296,96,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.392138,-80.22694,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,615
003-00806,2011-0,Y,ACTIVE,MORGAN HEIRS 12,12,,,,,395,96,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.390555,-80.225273,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,616
003-00817,2011-0,Y,ACTIVE,JOHN MCD GLENN 1,1,,,,,9,96,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.384023,-80.219592,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,617
003-00818,2011-0,Y,ACTIVE,WALLACE HEIRS 7,7,,,,,81.67,144,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,SOUTH FAYETTE,40.362395,-80.218153,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,618
003-00819,2011-0,Y,ACTIVE,WALLACE HEIRS 9,9,,,,,81.67,144,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,SOUTH FAYETTE,40.364316,-80.21923,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,619
003-00822,2011-0,Y,ACTIVE,WALLACE HEIRS 13,13,,,,,535,365,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,SOUTH FAYETTE,40.363494,-80.213134,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,620
003-00825,2011-0,Y,ACTIVE,WALLACE HEIRS 16,16,,,,,81.67,144,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,SOUTH FAYETTE,40.364183,-80.216717,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,621
003-00826,2011-0,Y,ACTIVE,W A DICKSON 10,10,,,,,10,52,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,SOUTH FAYETTE,40.358825,-80.207161,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,622
003-00827,2011-0,Y,ACTIVE,R D POTTER 8,8,,,,,28,96,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,SOUTH FAYETTE,40.354427,-80.204386,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,623
003-00838,2011-0,Y,ACTIVE,C J OBRIEN 1,1,,,,,119,48,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,SOUTH FAYETTE,40.371449,-80.196943,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,624
003-00839,2011-0,Y,ACTIVE,B MORGAN 7,7,,,,,120,52,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,SOUTH FAYETTE,40.357313,-80.16101,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,625
003-00850,2011-0,N,ACTIVE,MCCLELLAND HEIRS 1,1,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.404747,-80.17308,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,626
003-00853,2011-0,Y,ACTIVE,W V MCGILL 5,5,,,,,166,52,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.409557,-80.16966,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,627
003-00855,2011-0,N,ACTIVE,L KELSO 1,1,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,COLLIER,40.426098,-80.152965,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,628
003-00857,2011-0,Y,ACTIVE,J R MCMICHAEL 2,2,,,,,216,365,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.431179,-80.179728,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,629
003-00859,2011-0,N,ACTIVE,J WALKER 4,4,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.409288,-80.230206,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,630
003-00862,2011-0,N,ACTIVE,G & W MCMURRAY 6,6,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.393764,-80.196235,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,631
003-00868,2011-0,Y,ACTIVE,ELLIOTT BROS (FI) 10,10,,,,,214,104,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.395135,-80.242392,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,632
003-00893,2011-0,Y,ACTIVE,B.N. WHITMORE 2,2,,,,,131,108,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.424036,-80.205228,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,633
003-00894,2011-0,Y,ACTIVE,B.N. WHITMORE 1,1,,,,,131,108,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.420467,-80.207201,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,634
003-00895,2011-0,Y,ACTIVE,A. BELL 2,2,,,,,157,108,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,,,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,635
003-00896,2011-0,Y,ACTIVE,J. WHITMORE 7,7,,,,,486,156,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.41531,-80.203427,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,636
003-00897,2011-0,Y,ACTIVE,J.J. MATTHEWS 1,1,,,,,121.5,52,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.401865,-80.210619,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,637
003-00898,2011-0,N,ACTIVE,J.J. MATTHEWS 7,7,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.4101,-80.208285,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,On service rig schedule,638
003-00899,2011-0,Y,ACTIVE,J.J. MATTHEWS 9,9,,,,,121.5,52,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.406669,-80.210619,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,639
003-00900,2011-0,N,ACTIVE,J.J. MATTHEWS 3,3,,,,,,,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.404885,-80.211696,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,Gas well for compressor engine,640
003-00901,2011-0,N,ACTIVE,J.J. MATTHEWS 8,8,,,,,,,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.408453,-80.21044,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,Gas well for compressor engine,641
